cluster,season,pair_rows,decision_groups,settlement_days,rows_per_group,positive_rows
Europe-Continental,SON,4488,408,408,11.0,408
Europe-Continental,JJA,3850,350,350,11.0,350
US-Florida,SON,2244,204,204,11.0,204
US-Northeast,SON,2244,204,204,11.0,204
Europe-Continental,DJF,1980,180,180,11.0,180
US-Florida,JJA,1925,175,175,11.0,175
US-Northeast,JJA,1628,148,148,11.0,148
Europe-Continental,MAM,1240,120,120,10.333,113
US-Florida,DJF,1012,92,92,11.0,92
US-Northeast,DJF,708,68,68,10.412,64
US-Florida,MAM,613,63,63,9.73,55
US-Northeast,MAM,591,61,61,9.689,54
Europe-Maritime,MAM,52,12,12,4.333,4
US-GreatLakes,MAM,52,12,12,4.333,5
US-Southeast-Inland,MAM,52,12,12,4.333,4
US-Texas-Triangle,MAM,52,12,12,4.333,4
US-Pacific-Northwest,MAM,41,11,11,3.727,3
Europe-Maritime,DJF,3,3,3,1.0,0
US-Pacific-Northwest,DJF,2,2,2,1.0,0
US-Southeast-Inland,DJF,2,2,2,1.0,0
US-Texas-Triangle,DJF,2,2,2,1.0,0
