city,season,source,lead_days,n_samples,bias,mae,mse,error_variance
NYC,DJF,ecmwf,1,126,3.905556,4.464286,28.642937,13.389572
NYC,DJF,ecmwf,2,126,4.234127,4.907143,33.447698,15.519867
NYC,DJF,ecmwf,3,126,4.033333,4.792063,33.203016,16.935238
NYC,DJF,ecmwf,4,126,3.645238,5.034127,38.063254,24.775493
NYC,DJF,ecmwf,5,126,3.356349,5.113492,38.431825,27.166745
NYC,DJF,ecmwf,6,126,3.465873,6.481746,61.188333,49.176058
NYC,DJF,gfs,1,126,1.614286,2.892063,12.92254,10.316621
NYC,DJF,gfs,2,126,3.192063,3.692063,19.778254,9.588985
NYC,DJF,gfs,3,126,3.14127,3.638095,20.332222,10.464646
NYC,DJF,gfs,4,126,2.55873,3.442857,20.096032,13.548932
NYC,DJF,gfs,5,126,2.65873,3.952381,29.909206,22.84036
NYC,DJF,gfs,6,126,2.418254,4.645238,38.905,33.057048
NYC,DJF,gfs,7,126,2.230159,5.507937,55.460952,50.487344
NYC,DJF,icon,1,126,1.871429,2.426984,8.988095,5.48585
NYC,DJF,icon,2,126,2.140476,2.916667,12.839762,8.258124
NYC,DJF,icon,3,126,1.962698,2.856349,13.234683,9.382497
NYC,DJF,icon,4,126,1.988889,3.347619,17.01127,13.055591
NYC,DJF,icon,5,126,1.650794,3.815873,24.345873,21.620753
NYC,DJF,icon,6,126,0.938889,4.307143,33.413571,32.532059
NYC,DJF,openmeteo,2,126,3.192063,3.692063,19.778254,9.588985
NYC,DJF,openmeteo,3,126,3.14127,3.638095,20.332222,10.464646
NYC,DJF,openmeteo,4,126,2.55873,3.442857,20.096032,13.548932
NYC,DJF,openmeteo,5,126,2.65873,3.952381,29.909206,22.84036
NYC,DJF,openmeteo,6,126,2.418254,4.645238,38.905,33.057048
NYC,DJF,openmeteo,7,126,2.230159,5.507937,55.460952,50.487344
NYC,DJF,ukmo,1,126,2.607143,3.37381,16.922302,10.125108
NYC,DJF,ukmo,2,126,3.284921,3.983333,22.847698,12.056995
NYC,DJF,ukmo,3,126,3.02381,3.946032,22.541429,13.398005
NYC,DJF,ukmo,4,126,2.577778,3.825397,23.708413,17.063474
NYC,DJF,ukmo,5,126,1.798413,4.72381,41.02,37.785712
London,DJF,ecmwf,1,125,0.6384,0.8096,0.97536,0.567805
London,DJF,ecmwf,2,125,0.668,0.9144,1.30104,0.854816
London,DJF,ecmwf,3,125,0.5208,0.8248,1.18008,0.908847
London,DJF,ecmwf,4,125,0.816,1.192,2.59568,1.929824
London,DJF,ecmwf,5,125,0.8336,1.3072,3.17392,2.479031
London,DJF,ecmwf,6,125,1.0272,1.6736,5.27936,4.22422
London,DJF,ecmwf,7,125,1.1416,1.7928,5.07256,3.769309
London,DJF,gfs,1,125,0.484,0.7912,0.9124,0.678144
London,DJF,gfs,2,125,0.4832,0.9184,1.28272,1.049238
London,DJF,gfs,3,125,0.5144,1.0824,1.83448,1.569873
London,DJF,gfs,4,125,0.3824,1.2608,2.65104,2.50481
London,DJF,gfs,5,125,0.3896,1.396,3.3292,3.177412
London,DJF,gfs,6,125,0.5328,1.4544,3.27616,2.992284
London,DJF,gfs,7,125,0.3712,1.5632,3.78064,3.642851
London,DJF,icon,1,125,0.1544,0.6392,0.64696,0.623121
London,DJF,icon,2,125,0.428,0.9064,1.23992,1.056736
London,DJF,icon,3,125,0.4032,0.9808,1.60032,1.43775
London,DJF,icon,4,125,0.4384,1.0128,1.83312,1.640925
London,DJF,icon,5,125,0.4408,1.3576,3.48056,3.286255
London,DJF,icon,6,125,0.6752,1.5952,4.36656,3.910665
London,DJF,openmeteo,2,125,0.6952,0.9608,1.32632,0.843017
London,DJF,openmeteo,3,125,0.7704,1.0584,1.6452,1.051684
London,DJF,openmeteo,4,125,0.7488,1.264,2.40048,1.839779
London,DJF,openmeteo,5,125,0.544,1.3344,2.71584,2.419904
