city1,city2,corr,n
Jeddah,Munich,-0.3471651078745918,87
Chengdu,Jeddah,-0.33831365878962427,87
Los Angeles,Mexico City,-0.3164145612819735,881
Austin,Kuala Lumpur,-0.3080187904303441,87
Chongqing,Jeddah,-0.2832534737575219,87
Jeddah,Seattle,-0.279046712435074,87
Dallas,Kuala Lumpur,-0.27732961532508227,87
Cape Town,Seattle,-0.2525281828400335,87
Chengdu,Wellington,-0.2504861907395712,881
Dallas,Lagos,-0.2472704186857168,77
London,Mexico City,-0.24520339316066503,881
Mexico City,San Francisco,-0.2405078865577548,881
Jeddah,Paris,-0.23963058172385457,87
Auckland,Lucknow,-0.23636254055643147,87
Buenos Aires,Busan,-0.23600286217419797,87
Jeddah,Milan,-0.22413410416453788,87
Mexico City,Paris,-0.21944001284485246,881
Houston,Kuala Lumpur,-0.21903224457590642,87
Chicago,Kuala Lumpur,-0.21464981573120764,87
Panama City,San Francisco,-0.2122572443392557,84
Denver,Mexico City,-0.21194375582624173,881
Jeddah,Los Angeles,-0.2076556940250304,87
Los Angeles,Panama City,-0.20476807095126381,84
Busan,Cape Town,-0.20425544256975425,88
Buenos Aires,Panama City,-0.19440217976183471,84
Denver,Kuala Lumpur,-0.1902085994709635,87
Cape Town,Taipei,-0.18966013688849126,87
Austin,Cape Town,-0.18932710799229652,87
Auckland,Miami,-0.18818446513964115,87
Auckland,Cape Town,-0.18815333397891892,88
Cape Town,Lagos,-0.18676446047195508,78
Busan,Wellington,-0.18633047521434074,87
Chongqing,Wellington,-0.18550001065268473,881
Cape Town,Paris,-0.18203622207148562,87
Buenos Aires,Warsaw,-0.1812169628845616,881
Mexico City,Seattle,-0.18116735097297235,881
Auckland,Istanbul,-0.1786045450267609,87
Ankara,Buenos Aires,-0.17791450389214816,881
Busan,Tel Aviv,-0.17669989454211454,87
Kuala Lumpur,Toronto,-0.1754865981385673,87
Panama City,Seattle,-0.17490319773742793,84
Istanbul,Paris,-0.17442292456892589,881
Istanbul,London,-0.17195471118755218,881
Kuala Lumpur,Sao Paulo,-0.16979440426707054,87
Jakarta,Lagos,-0.1688940800049787,78
Los Angeles,Toronto,-0.16853757920995033,881
Panama City,Singapore,-0.1677110797265294,84
Kuala Lumpur,Tokyo,-0.16755961751342877,87
Jeddah,Wuhan,-0.16662343568320065,87
Mexico City,Shenzhen,-0.16645193732171348,881
