hour,n,p_more_upside,avg_residual_upside
0,9157,0.9527137708856612,8.959633067598558
1,9144,0.9504593175853019,8.886524496937882
2,9112,0.9491878841088675,8.807822651448639
3,9146,0.9481740651650995,8.79699978132517
4,9146,0.9477367155040455,8.76919527662366
5,9147,0.9473051273641632,8.742335191866186
6,9147,0.9467585000546628,8.702319886301519
7,9146,0.946534003936147,8.630852831839055
8,9146,0.9464246665208834,8.410566367811064
9,9146,0.9459873168598294,7.876429040017495
10,9146,0.9427071944019243,6.994767111305489
11,9146,0.9351629127487426,5.952698447408703
12,9147,0.9164753471083416,4.980205531868372
13,9146,0.8819155915154165,4.180752241417013
14,9146,0.8490050295211021,3.540467964137328
15,9146,0.8209053137983818,3.043505357533348
16,9146,0.8018806035425322,2.6663831183030835
17,9146,0.7890881259567024,2.3262956483708725
18,9147,0.7736962938668416,2.021897890018585
19,9146,0.7580363000218675,1.7656964793352286
20,9146,0.739667614257599,1.5695101683796195
21,9146,0.7227203148917559,1.437765143232014
22,9146,0.7085064509075005,1.3617472118959109
23,9146,0.7000874699322108,1.3226853269188716
