city,rows,sources,seasons
Ankara,20,5,4
Atlanta,20,5,4
Austin,20,5,4
Beijing,20,5,4
Buenos Aires,20,5,4
Chengdu,20,5,4
Chicago,20,5,4
Chongqing,20,5,4
Dallas,20,5,4
Denver,20,5,4
Hong Kong,20,5,4
Houston,20,5,4
Istanbul,20,5,4
London,20,5,4
Los Angeles,20,5,4
Lucknow,20,5,4
Madrid,20,5,4
Mexico City,20,5,4
Miami,20,5,4
Milan,20,5,4
Moscow,20,5,4
Munich,20,5,4
NYC,20,5,4
Paris,20,5,4
San Francisco,20,5,4
Sao Paulo,20,5,4
Seattle,20,5,4
Seoul,20,5,4
Shanghai,20,5,4
Shenzhen,20,5,4
Singapore,20,5,4
Taipei,20,5,4
Tel Aviv,20,5,4
Tokyo,20,5,4
Toronto,20,5,4
Warsaw,20,5,4
Wellington,20,5,4
Wuhan,20,5,4
