city1,city2,corr,n
Austin,Houston,0.8660025468410026,881
Austin,Dallas,0.8620734972194514,881
Hong Kong,Shenzhen,0.8570959479933816,881
London,Paris,0.759488707091313,881
Dallas,Houston,0.7532141163581392,881
Chengdu,Chongqing,0.7456552274137535,881
Busan,Shanghai,0.7359655409116567,87
Ankara,Istanbul,0.7299974891010618,881
Busan,Seoul,0.6809195127410993,87
Shanghai,Wuhan,0.6801102690173839,881
Chicago,Toronto,0.6762059272008668,881
Chongqing,Wuhan,0.6354622867276467,881
Shenzhen,Taipei,0.6091286458494473,881
Shanghai,Taipei,0.6080791315938188,881
Busan,Taipei,0.6050010512891207,87
NYC,Toronto,0.6031197621382216,881
Munich,Warsaw,0.5930549813359322,881
Busan,Shenzhen,0.5890498559813286,87
Atlanta,Houston,0.5843758736590479,881
Busan,Wuhan,0.5830042330083675,87
Chengdu,Wuhan,0.5730216785065384,881
Hong Kong,Taipei,0.5609767833923333,881
Ankara,Tel Aviv,0.5598171566914905,881
Busan,Tokyo,0.5418979322873476,87
Munich,Paris,0.530646139610106,881
Atlanta,Dallas,0.510397143188715,881
Seoul,Shanghai,0.5083982573814012,881
Busan,Chongqing,0.5060521666817527,87
Busan,Hong Kong,0.5034454067707627,87
Busan,Chengdu,0.5012753392547986,87
Chicago,Dallas,0.5008670427917454,881
Seoul,Wuhan,0.5005929436205725,881
Atlanta,Austin,0.4990553806390192,881
Chongqing,Shanghai,0.4932905099909198,881
Chengdu,Shanghai,0.49146108686572454,881
Seoul,Taipei,0.48045607013418573,881
Beijing,Wuhan,0.47885014623101935,881
Milan,Paris,0.4753607941466414,881
Los Angeles,San Francisco,0.4724230944474564,881
Shanghai,Shenzhen,0.4651158794942079,881
Madrid,Milan,0.46332459020322075,881
London,Milan,0.4577184913312009,881
Chicago,NYC,0.45021604055661374,881
Taipei,Tokyo,0.4457156903510814,881
Beijing,Seoul,0.4358896993218168,881
Beijing,Busan,0.43579581701269093,87
Miami,Panama City,0.43494425493818367,84
Shanghai,Tokyo,0.4319815742706712,881
Istanbul,Tel Aviv,0.42670846975389976,881
Chicago,Houston,0.425505754181776,881
